Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
001130,KR7001130004,대한제분,KOSPI,,11700,2,-80,-0.68,11770,11790,11640,7879,92385145,197730000000,16900000,STK
013580,KR7013580006,계룡건설,KOSPI,,22000,1,300,1.38,21950,22450,21700,77969,1721395600,196479954000,8930907,STK
039570,KR7039570007,HDC랩스,KOSPI,,7560,3,0,0.0,7560,7620,7540,1682,12728890,196239463560,25957601,STK
001630,KR7001630003,종근당홀딩스,KOSPI,,38900,3,0,0.0,39300,39500,38900,1024,39891075,194883592900,5009861,STK
053210,KR7053210001,스카이라이프,KOSPI,,4100,2,-10,-0.24,4150,4150,4055,13504,55156295,194844115500,47522955,STK
377190,KR7377190004,디앤디플랫폼리츠,KOSPI,,2195,3,0,0.0,2195,2210,2185,102384,224742382,194038000000,88400000,STK
035510,KR7035510007,신세계 I&C,KOSPI,,13860,1,870,6.7,13020,14700,13020,301604,4229432690,193775274000,13980900,STK
016580,KR7016580003,환인제약,KOSPI,,10360,2,-30,-0.29,10400,10450,10180,74597,763580815,192696725200,18600070,STK
095570,KR7095570008,AJ네트웍스,KOSPI,,4250,3,0,0.0,4305,4305,4220,57218,242915127,192324225750,45252759,STK
117580,KR7117580001,대성에너지,KOSPI,,6960,3,0,0.0,6960,6970,6850,51808,358495730,191400000000,27500000,STK
102260,KR7102260007,동성케미컬,KOSPI,,3760,1,10,0.27,3760,3805,3745,89488,337703841,190517662160,50669591,STK
339770,KR7339770000,교촌에프앤비,KOSPI,,3800,3,0,0.0,3840,3850,3795,17114,65222187,189867304000,49965080,STK
033530,KR7033530007,SJG세종,KOSPI,,7000,1,110,1.6,6890,7090,6890,30096,209723640,189366093000,27052299,STK
010580,KR7010580009,에스엠벡셀,KOSPI,,1699,2,-38,-2.19,1723,1745,1680,242886,413891795,189016740240,111251760,STK
128820,KR7128820008,대성산업,KOSPI,,4150,1,75,1.84,4145,4180,4075,46788,193569195,187727233700,45235478,STK
000140,KR7000140004,하이트진로홀딩스,KOSPI,,8030,1,10,0.12,8140,8140,8000,2652,21286310,186350322950,23206765,STK
102460,KR7102460003,이연제약,KOSPI,,9970,1,60,0.61,9910,10010,9730,38973,383908030,185310505670,18586811,STK
007860,KR7007860000,서연,KOSPI,,7760,2,-10,-0.13,7750,7860,7750,16202,126090400,182203589440,23479844,STK
002100,KR7002100006,경농,KOSPI,,9330,1,20,0.21,9310,9370,9270,29074,271084215,182145624750,19522575,STK
003220,KR7003220001,대원제약,KOSPI,,8070,1,80,1.0,8040,8100,7920,38806,310814070,180990594810,22427583,STK
014710,KR7014710008,사조씨푸드,KOSPI,,10470,2,-30,-0.29,10970,10970,10240,5726,60037940,180278145210,17218543,STK
213500,KR7213500002,한솔제지,KOSPI,,7570,1,100,1.34,7500,7590,7500,20655,156017075,180170360320,23800576,STK
002420,KR7002420008,우양피앤엘,KOSPI,,5780,2,-90,-1.53,5870,5870,5720,10769,62048220,180150369520,31167884,STK
002150,KR7002150001,도화엔지니어링,KOSPI,,5320,2,-30,-0.56,5350,5420,5300,24856,133240630,179390400000,33720000,STK
487570,KR7487570004,HS효성,KOSPI,,48100,2,-150,-0.31,48350,48600,47600,1611,77808325,179217088700,3725927,STK
016450,KR7016450009,한세예스24홀딩스,KOSPI,,4465,2,-25,-0.56,4490,4530,4430,26443,117826262,178600000000,40000000,STK
234080,KR7234080000,JW생명과학,KOSPI,,11260,1,60,0.54,11280,11280,11170,9477,106482510,178297078040,15834554,STK
015230,KR7015230006,대창단조,KOSPI,,6520,1,20,0.31,6500,6670,6450,94144,616311915,176976402400,27143620,STK
003610,KR7003610003,방림,KOSPI,,5500,2,-80,-1.43,5640,5640,5460,36062,198267360,176609279000,32110778,STK
004560,KR7004560009,현대비앤지스틸,KOSPI,,11650,1,60,0.52,11700,11850,11530,16998,198436640,175668148150,15078811,STK
241590,KR7241590009,화승엔터프라이즈,KOSPI,,2880,1,5,0.17,2835,2940,2835,14869,42984472,174497114880,60589276,STK
000390,KR7000390005,SP삼화,KOSPI,,6410,2,-70,-1.08,6480,6630,6410,70882,462445930,174374236290,27203469,STK
025560,KR7025560004,미래산업,KOSPI,,6270,1,100,1.62,6250,6280,6100,257508,1595711055,174172311060,27778678,STK
000300,KR7000300004,DH오토넥스,KOSPI,,4200,0,0,0.0,0,0,0,0,0,174035631000,41437055,STK
003460,KR7003460003,유화증권,KOSPI,,3065,1,20,0.66,3045,3075,3045,6565,20127820,173792901975,56702415,STK
000700,KR7000700005,유수홀딩스,KOSPI,,6640,1,50,0.76,6520,6720,6520,20322,135249630,172917631680,26041812,STK
